"","H1","H2","H3","H4","H5","H6","H7","H8","graph","seed","case"
"166",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"coPrimary.2",21,"n = 100"
"167",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.FS",21,"n = 100"
"168",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.SA",21,"n = 100"
"169",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bonferroni",22,"n = 100"
"170",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",22,"n = 100"
"171",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"BonHolm",22,"n = 100"
"172",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fallback",22,"n = 100"
"173",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.1",22,"n = 100"
"174",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.2",22,"n = 100"
"175",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.FS",22,"n = 100"
"176",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.SA",22,"n = 100"
"177",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bonferroni",23,"n = 100"
"178",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",23,"n = 100"
"179",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"BonHolm",23,"n = 100"
"180",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fallback",23,"n = 100"
"181",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"coPrimary.1",23,"n = 100"
"182",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"coPrimary.2",23,"n = 100"
"183",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.FS",23,"n = 100"
"184",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.SA",23,"n = 100"
"185",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"Bonferroni",24,"n = 100"
"186",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",24,"n = 100"
"187",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"BonHolm",24,"n = 100"
"188",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fallback",24,"n = 100"
"189",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"coPrimary.1",24,"n = 100"
"190",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"coPrimary.2",24,"n = 100"
